ac;ac_sn;;;;;;;;;;;;;;;;;;;;;;
AP-BOC;3538;;;;;;;;;;;;;;;;;;;;;;
AP-BOR;4961;;;;;;;;;;;;;;;;;;;;;;
AP-BOS;5472;;;;;;;;;;;;;;;;;;;;;;
AP-EDA;3974;;;;;;;;;;;;;;;;;;;;;;
AP-EDD;1467;;;;;;;;;;;;;;;;;;;;;;
AP-EDG;5891;;;;;;;;;;;;;;;;;;;;;;
AW21;33962;;;;;;;;;;;;;;;;;;;;;;
AW22;33963;;;;;;;;;;;;;;;;;;;;;;
AW23;33964;;;;;;;;;;;;;;;;;;;;;;
AW24;33965;;;;;;;;;;;;;;;;;;;;;;
B727-PW;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B737-3CFM;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B737-4CFM;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B737-5CFM;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B737-6CFM;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B737-7CFM;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B737-8CFM;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B737-8M-L1;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B737-9CFM;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B737-9M-L1;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B747-8GE;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B757-PW;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B757-RR;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B767-GE;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B767-PW;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B767-RR;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B777-F-GE;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B777-GE;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B777-PW4;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B777-TR;DUMMY;;;;;;;;;;;;;;;;;;;;;;
B787-9-GE;DUMMY;;;;;;;;;;;;;;;;;;;;;;
BFE;BFE;;;;;;;;;;;;;;;;;;;;;;
C172-LY;DUMMY;;;;;;;;;;;;;;;;;;;;;;
C510-PWC;DUMMY;;;;;;;;;;;;;;;;;;;;;;
C560-PWC;DUMMY;;;;;;;;;;;;;;;;;;;;;;
C850-CF34;DUMMY;;;;;;;;;;;;;;;;;;;;;;
C-GVVQ;5946;;;;;;;;;;;;;;;;;;;;;;
CL-2B16;DUMMY;;;;;;;;;;;;;;;;;;;;;;
CN-NMF;4539;;;;;;;;;;;;;;;;;;;;;;
CN-NMG;4568;;;;;;;;;;;;;;;;;;;;;;
CN-NMH;5143;;;;;;;;;;;;;;;;;;;;;;
CN-NMI;5206;;;;;;;;;;;;;;;;;;;;;;
CN-NMJ;6896;;;;;;;;;;;;;;;;;;;;;;
CN-NMK;4806;;;;;;;;;;;;;;;;;;;;;;
CN-NML;4848;;;;;;;;;;;;;;;;;;;;;;
CN-NMM;7096;;;;;;;;;;;;;;;;;;;;;;
CN-NMN;6365;;;;;;;;;;;;;;;;;;;;;;
CN-NMO;6942;;;;;;;;;;;;;;;;;;;;;;
CN-NMP;5903;;;;;;;;;;;;;;;;;;;;;;
CN-NMQ;5984;;;;;;;;;;;;;;;;;;;;;;
CN-NMR;6176;;;;;;;;;;;;;;;;;;;;;;
CN-RGT;35509;;;;;;;;;;;;;;;;;;;;;;
CN-RNS;30115;;;;;;;;;;;;;;;;;;;;;;
CN-RNT;30843;;;;;;;;;;;;;;;;;;;;;;
CN-ROV;27686;;;;;;;;;;;;;;;;;;;;;;
CN-ROW;30008;;;;;;;;;;;;;;;;;;;;;;
CS1;0;;;;;;;;;;;;;;;;;;;;;;
CS2;0;;;;;;;;;;;;;;;;;;;;;;
CS-TKT;30853;;;;;;;;;;;;;;;;;;;;;;
CS-TQP;211;;;;;;;;;;;;;;;;;;;;;;
CS-TQZ;202;;;;;;;;;;;;;;;;;;;;;;
DA40-AE;DUMMY;;;;;;;;;;;;;;;;;;;;;;
DA42-AE;DUMMY;;;;;;;;;;;;;;;;;;;;;;
DA42-TAE;DUMMY;;;;;;;;;;;;;;;;;;;;;;
D-ABUC;26992;;;;;;;;;;;;;;;;;;;;;;
D-ADAA;40776;;;;;;;;;;;;;;;;;;;;;;
D-ADAB;40777;;;;;;;;;;;;;;;;;;;;;;
D-ADCL;5435;;;;;;;;;;;;;;;;;;;;;;
D-ALAA;874;;;;;;;;;;;;;;;;;;;;;;
D-ALAB;939;;;;;;;;;;;;;;;;;;;;;;
D-ASXA;28178;;;;;;;;;;;;;;;;;;;;;;
D-ASXB;30420;;;;;;;;;;;;;;;;;;;;;;
D-ASXC;30806;;;;;;;;;;;;;;;;;;;;;;
D-ASXD;33562;;;;;;;;;;;;;;;;;;;;;;
D-ASXE;32365;;;;;;;;;;;;;;;;;;;;;;
D-ASXF;33558;;;;;;;;;;;;;;;;;;;;;;
D-ASXG;32366;;;;;;;;;;;;;;;;;;;;;;
D-ASXH;32368;;;;;;;;;;;;;;;;;;;;;;
D-ASXI;32367;;;;;;;;;;;;;;;;;;;;;;
D-ASXJ;30807;;;;;;;;;;;;;;;;;;;;;;
D-ASXK;28070;;;;;;;;;;;;;;;;;;;;;;
D-ASXO;29649;;;;;;;;;;;;;;;;;;;;;;
D-ASXP;29684;;;;;;;;;;;;;;;;;;;;;;
D-ASXQ;30826;;;;;;;;;;;;;;;;;;;;;;
D-ASXR;30827;;;;;;;;;;;;;;;;;;;;;;
D-ASXS;33563;;;;;;;;;;;;;;;;;;;;;;
D-ASXU;29671;;;;;;;;;;;;;;;;;;;;;;
D-ASXV;30272;;;;;;;;;;;;;;;;;;;;;;
D-ASXW;36530;;;;;;;;;;;;;;;;;;;;;;
D-ASXX;34984;;;;;;;;;;;;;;;;;;;;;;
D-ASXY;34985;;;;;;;;;;;;;;;;;;;;;;
D-ASXZ;39093;;;;;;;;;;;;;;;;;;;;;;
EC-ISI;2123;;;;;;;;;;;;;;;;;;;;;;
EC-MBK;2658;;;;;;;;;;;;;;;;;;;;;;
EC-MNK;1755;;;;;;;;;;;;;;;;;;;;;;
EC-MTB;1684;;;;;;;;;;;;;;;;;;;;;;
EC-MTC;2258;;;;;;;;;;;;;;;;;;;;;;
